r = 2, k = 4, thread # = 1
r = 4, k = 9, thread # = 3
r = 1, k = 1, thread # = 0
r = 1, k = 2, thread # = 0
r = 1, k = 3, thread # = 0
r = 1, k = 4, thread # = 0
r = 1, k = 5, thread # = 0
r = 1, k = 6, thread # = 0
r = 1, k = 7, thread # = 0
r = 1, k = 8, thread # = 0
r = 1, k = 9, thread # = 0
r = 1, k = 10, thread # = 0
r = 2, k = 1, thread # = 0
r = 2, k = 2, thread # = 0
r = 2, k = 3, thread # = 0
r = 3, k = 7, thread # = 2
r = 3, k = 8, thread # = 2
r = 3, k = 9, thread # = 2
r = 3, k = 10, thread # = 2
r = 4, k = 1, thread # = 2
r = 4, k = 2, thread # = 2
r = 4, k = 3, thread # = 2
r = 4, k = 4, thread # = 2
r = 4, k = 5, thread # = 2
r = 4, k = 6, thread # = 2
r = 4, k = 7, thread # = 2
r = 4, k = 8, thread # = 2
r = 4, k = 10, thread # = 3
r = 5, k = 1, thread # = 3
r = 5, k = 2, thread # = 3
r = 5, k = 3, thread # = 3
r = 5, k = 4, thread # = 3
r = 5, k = 5, thread # = 3
r = 5, k = 6, thread # = 3
r = 5, k = 7, thread # = 3
r = 5, k = 8, thread # = 3
r = 5, k = 9, thread # = 3
r = 5, k = 10, thread # = 3
r = 2, k = 5, thread # = 1
r = 2, k = 6, thread # = 1
r = 2, k = 7, thread # = 1
r = 2, k = 8, thread # = 1
r = 2, k = 9, thread # = 1
r = 2, k = 10, thread # = 1
r = 3, k = 1, thread # = 1
r = 3, k = 2, thread # = 1
r = 3, k = 3, thread # = 1
r = 3, k = 4, thread # = 1
r = 3, k = 5, thread # = 1
r = 3, k = 6, thread # = 1
